profile_id,year,games_played,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_yards,receptions,receiving_touchdowns,fumbles_lost
2495793,2006,16,0,0,0,0,0,226,1081,7,325,1,251,2
2495801,2006,9,0,0,0,0,0,0,0,0,0,0,0,1
2495821,2006,14,0,0,0,0,0,0,0,0,1038,70,8,0
2495824,2006,5,81,137,1001,9,5,12,18,0,0,0,0,2
2495825,2006,14,0,0,0,0,0,0,0,0,352,34,5,0
2495826,2006,10,0,0,0,0,0,2,5,0,265,20,3,1
2495831,2006,16,0,0,0,0,0,166,941,13,436,2,329,1
2495835,2006,16,0,0,0,0,0,0,0,0,126,14,0,0
2495863,2006,4,47,81,475,2,4,15,77,1,0,0,0,1
2495867,2006,14,0,0,0,0,0,0,0,0,632,45,3,0
2495888,2006,15,0,0,0,0,0,0,0,0,126,13,1,0
2495893,2006,15,0,0,0,0,0,2,12,0,309,20,2,0
2495966,2006,7,0,0,0,0,0,0,0,0,30,2,0,0
2495974,2006,2,0,0,0,0,0,2,13,1,0,0,0,0
2495979,2006,13,0,0,0,0,0,121,501,1,313,1,180,0
2500150,2006,4,42,90,549,1,6,0,0,0,0,0,0,0
2500835,2006,15,0,0,0,0,0,0,0,0,900,73,5,0
2501078,2006,12,210,371,2442,18,15,18,110,0,0,0,0,2
2501863,2006,16,362,557,4397,31,9,23,36,4,0,0,0,1
2501898,2006,16,0,0,0,0,0,1,-4,0,750,68,2,0
2502044,2006,10,180,316,2647,18,6,32,212,3,0,0,0,2
2502220,2006,13,0,0,0,0,0,0,0,0,553,42,3,0
2502377,2006,16,0,0,0,0,0,0,0,0,1180,85,13,0
2503532,2006,14,0,0,0,0,0,2,30,0,975,74,6,1
2504211,2006,16,319,516,3529,24,12,49,102,0,0,0,0,4
2504252,2006,16,0,0,0,0,0,296,1210,6,154,0,262,1
2504253,2006,15,0,0,0,0,0,0,0,0,988,63,10,1
2504531,2006,16,204,388,2474,20,13,123,1039,2,0,0,0,3
2504566,2006,2,26,38,342,3,0,1,3,0,0,0,0,1
2504595,2006,14,0,0,0,0,0,8,61,1,1166,83,8,0
2504651,2006,16,0,0,0,0,0,6,24,0,1369,87,7,1
2504743,2006,14,0,0,0,0,0,7,82,0,790,55,6,0
2504747,2006,16,0,0,0,0,0,0,0,0,1310,86,9,0
2504775,2006,16,356,554,4418,26,11,42,32,0,0,0,0,3
2504778,2006,16,0,0,0,0,0,348,1815,28,508,3,545,1
2505033,2006,11,0,0,0,0,0,0,0,0,142,11,1,0
2505052,2006,16,0,0,0,0,0,161,604,0,46,0,202,1
2505062,2006,14,0,0,0,0,0,4,30,0,725,53,4,0
2505076,2006,2,0,0,0,0,0,0,0,0,0,0,0,0
2505101,2006,11,145,241,1735,10,9,47,250,0,0,0,0,2
2505106,2006,16,0,0,0,0,0,0,0,0,640,62,3,0
2505245,2006,16,324,520,4035,28,13,26,37,0,0,0,0,7
2505299,2006,16,0,0,0,0,0,0,0,0,924,71,9,0
2505354,2006,16,220,337,2903,19,13,34,102,0,0,0,0,3
2505380,2006,16,0,0,0,0,0,11,59,0,4,0,30,0
2505453,2006,16,0,0,0,0,0,1,3,0,160,17,0,0
2505511,2006,16,0,0,0,0,0,0,0,0,192,18,2,0
2505551,2006,16,0,0,0,0,0,3,14,0,1147,103,5,0
2505562,2006,8,82,141,927,8,7,12,122,0,0,0,0,3
2505587,2006,16,0,0,0,0,0,5,28,0,1203,83,4,0
2505600,2006,15,0,0,0,0,0,0,0,0,365,23,0,1
2505623,2006,16,262,480,3193,23,20,24,2,0,0,0,0,5
2505629,2006,16,0,0,0,0,0,0,0,0,754,64,1,0
2505664,2006,12,0,0,0,0,0,0,0,0,367,30,4,0
2505673,2006,6,108,183,1159,7,5,25,41,2,0,0,0,0
2505674,2006,14,0,0,0,0,0,259,990,6,156,0,249,2
2505785,2006,12,0,0,0,0,0,0,0,0,210,15,3,0
2505790,2006,16,0,0,0,0,0,0,0,0,687,67,1,1
2505936,2006,16,0,0,0,0,0,346,1528,13,806,3,363,2
2505967,2006,8,0,0,0,0,0,0,0,0,0,0,0,0
2505976,2006,16,0,0,0,0,0,1,2,0,436,39,7,0
2505982,2006,16,18,27,208,1,2,7,21,0,0,0,0,0
2505996,2006,16,301,522,3244,24,18,25,21,0,0,0,0,2
2506004,2006,16,0,0,0,0,0,5,25,0,961,82,6,0
2506014,2006,13,0,0,0,0,0,80,502,2,47,0,237,0
2506097,2006,16,0,0,0,0,0,0,0,0,1292,82,8,1
2506106,2006,13,0,0,0,0,0,0,0,0,946,69,6,0
2506107,2006,16,0,0,0,0,0,0,0,0,875,89,3,0
2506109,2006,15,280,469,3513,18,23,32,98,2,0,0,0,2
2506114,2006,13,0,0,0,0,0,2,14,1,745,32,5,0
2506121,2006,16,284,460,3388,22,9,48,49,0,0,0,0,2
2506122,2006,13,0,0,0,0,0,0,0,0,643,49,3,1
2506222,2006,16,0,0,0,0,0,2,11,0,91,10,0,2
2506287,2006,4,0,0,0,0,0,0,0,0,10,1,0,0
2506313,2006,16,0,0,0,0,0,3,8,0,624,35,4,0
2506340,2006,16,257,442,2890,16,16,44,147,2,0,0,0,5
2506341,2006,13,0,0,0,0,0,241,1008,5,276,0,242,2
2506342,2006,16,0,0,0,0,0,3,7,0,884,61,6,0
2506343,2006,15,0,0,0,0,0,157,647,6,54,0,193,0
2506344,2006,14,0,0,0,0,0,225,798,1,196,0,220,3
2506363,2006,2,6,15,46,0,0,2,11,0,0,0,0,1
2506364,2006,7,110,207,1297,10,6,24,107,0,0,0,0,0
2506366,2006,16,0,0,0,0,0,0,0,0,506,30,0,1
2506369,2006,16,0,0,0,0,0,0,0,0,393,34,5,0
2506400,2006,16,0,0,0,0,0,3,16,0,453,27,6,0
2506404,2006,16,0,0,0,0,0,312,1695,8,485,1,498,5
2506447,2006,16,0,0,0,0,0,135,654,14,196,2,215,0
2506448,2006,15,0,0,0,0,0,96,423,9,149,0,151,1
2506546,2006,5,66,117,793,5,8,4,47,0,0,0,0,1
2506562,2006,6,5,8,32,0,0,2,4,0,0,0,0,1
2506581,2006,1,0,0,0,0,0,3,0,0,0,0,0,0
2506817,2006,14,0,0,0,0,0,0,0,0,0,0,0,0
2506874,2006,16,0,0,0,0,0,155,565,6,742,2,173,2
2506875,2006,15,184,357,2199,12,13,83,552,7,0,0,0,3
2506878,2006,12,214,377,2547,11,12,22,49,2,0,0,0,2
2506885,2006,16,0,0,0,0,0,1,13,0,824,49,2,2
2506895,2006,2,0,1,0,0,0,2,10,0,0,0,0,1
2495558,2007,16,0,0,0,0,0,0,0,0,995,70,5,0
2495560,2007,12,0,0,0,0,0,23,190,1,12,0,109,1
2495562,2007,16,0,0,0,0,0,2,8,0,92,8,0,0
2495573,2007,1,0,0,0,0,0,0,0,0,0,0,0,0
2495647,2007,15,0,0,0,0,0,4,52,1,756,48,4,0
2495651,2007,14,0,0,0,0,0,3,-1,0,149,15,0,2
2495660,2007,16,0,0,0,0,0,86,303,0,183,0,95,0
2495663,2007,13,0,0,0,0,0,280,1115,7,184,0,304,1
2495700,2007,14,0,0,0,0,0,0,0,0,391,39,2,0
2495714,2007,1,3,8,45,0,0,0,0,0,0,0,0,0
2495718,2007,13,0,0,0,0,0,0,0,0,396,31,4,0
